mgra,taz,msa
471,1536,0
472,14,4
473,4021,3
474,3931,3
475,2339,0
476,2323,2
477,474,1
478,311,4
479,1572,0
480,2783,2
481,4021,3
482,4156,3
483,2769,2
484,559,1
485,2470,2
486,1936,1
487,4653,3
488,3382,0
489,403,4
490,1633,0
491,2408,2
492,3550,2
493,1863,0
494,2121,0
495,590,0
496,1361,1
497,3069,2
498,1499,0
499,2353,0
500,606,1
501,4311,3
502,4366,2
503,2288,0
504,711,0
505,768,0
506,1741,0
507,33,4
508,2762,0
509,3132,0
510,3208,0
511,2768,0
512,2202,0
513,699,1
514,3893,1
515,549,1
516,1016,1
517,3465,0
518,2263,0
519,1774,0
520,1835,0
521,1355,1
522,44,4
523,4686,3
524,617,1
525,3901,0
526,1572,0
527,2602,0
528,1578,0
529,2601,0
530,533,1
531,4293,3
532,1618,0
533,1572,0
534,1282,1
535,2013,0
536,367,4
537,1571,0
538,4269,3
539,4023,3
540,4228,3
541,2635,0
542,2359,0
543,1945,0
544,1716,0
545,2650,0
546,2602,0
547,4052,3
548,3366,0
549,617,1
550,2482,0
551,1977,0
552,1257,1
553,2375,1
554,2169,0
555,3877,3
556,2204,0
557,851,0
558,4053,2
559,1779,0
560,1769,0
561,2649,0
562,615,0
563,589,0
564,1845,0
565,29,4
566,3193,2
567,989,0
568,3364,0
569,88,4
570,3462,0
571,687,0
572,1361,1
573,2404,0
574,1837,0
575,2208,0
576,2415,0
577,2499,2
578,590,0
579,3940,3
580,4067,3
581,388,4
582,549,1
583,2277,0
584,2042,0
585,3320,1
586,1601,0
587,3969,3
588,3598,1
589,3871,3
590,1016,1
591,1499,0
592,3394,2
593,13,4
594,2570,0
595,2182,1
596,3764,0
597,2694,0
598,2875,0
599,27,4
600,3294,2
601,959,0
602,1282,1
603,1836,0
604,1928,0
605,2505,0
606,2538,0
607,3265,2
608,2589,0
609,2574,0
610,1551,0
611,45,4
612,962,1
613,3511,2
614,95,4
615,1685,0
616,2201,0
617,3158,0
618,2757,0
619,2247,0
620,2768,0
621,916,1
622,2210,0
623,3132,0
624,3920,1
625,4646,3
626,2912,2
627,2258,1
628,3778,3
629,45,4
630,3665,3
631,565,1
632,526,1
633,4501,3
634,2676,0
635,2020,0
636,2505,0
637,3886,3
638,22,4
639,895,0
640,1663,1
641,1185,1
642,4225,3
643,4173,2
644,129,4
645,926,1
646,388,4
647,4196,3
648,2284,0
649,2415,0
650,1882,0
651,2110,0
652,385,1
653,369,1
654,1506,0
655,3754,3
656,4053,2
657,2841,0
658,679,1
659,3920,1
660,2903,0
661,3061,0
662,1230,1
663,4700,3
664,2601,0
665,3364,0
666,2077,0
667,2897,0
668,747,0
669,3157,2
670,549,1
671,2287,0
672,4702,3
673,4311,3
674,900,1
675,606,1
676,1623,1
677,3267,2
678,2202,0
679,589,0
680,1082,1
681,943,0
682,1536,0
683,2694,0
684,3498,2
685,4705,3
686,3307,0
687,2391,0
688,2735,0
689,2554,0
690,3610,0
691,2517,2
692,3523,0
693,3867,1
694,3434,0
695,611,1
696,744,0
697,3324,0
698,2628,0
699,1572,0
700,818,0
701,873,0
702,1571,0
703,14,4
704,1572,0
705,2396,1
706,2123,1
707,1891,0
708,1631,0
709,1487,0
710,2581,2
711,4052,3
712,1925,0
713,2214,0
714,2389,0
715,1506,0
716,2572,0
717,2480,0
718,2682,2
719,4673,3
720,2013,0
721,2389,0
722,1312,1
723,411,1
724,1506,0
725,2469,2
726,388,4
727,610,0
728,991,0
729,1349,1
730,2635,0
731,639,0
732,793,0
733,1918,0
734,4314,3
735,2502,0
736,35,4
737,2284,0
738,1571,0
739,2797,0
740,2476,0
741,2080,0
742,2402,0
743,3484,2
744,3899,3
745,2244,1
746,278,4
747,1898,0
748,1555,0
749,2287,0
750,1837,0
751,1725,0
752,2422,0
753,2686,0
754,4309,3
755,3132,0
756,3106,0
757,1076,0
758,883,1
759,4425,3
760,1837,0
761,3835,3
762,3272,0
763,1779,0
764,1536,0
765,701,0
766,3888,3
767,2074,0
768,623,1
769,1517,0
770,4005,2
771,2731,0
772,4457,3
773,264,4
774,570,1
775,1785,0
776,2345,0
777,2875,0
778,1382,1
779,3575,3
780,2810,0
781,2150,0
782,3598,1
783,837,0
784,730,0
785,3267,2
786,1831,0
787,800,0
788,943,0
789,3958,1
790,3075,1
791,3638,3
792,1750,0
793,2506,1
794,2813,2
795,1967,0
796,1779,0
797,878,1
798,3496,0
799,2557,0
800,703,0
801,1512,1
802,3043,2
803,2750,0
804,2750,0
805,2155,0
806,1857,0
807,87,4
808,2327,0
809,1895,0
810,3520,0
811,2288,0
812,3596,2
813,2023,0
814,2776,0
815,2557,0
816,2288,0
817,2572,0
818,3535,3
819,1527,0
820,264,4
821,36,4
822,36,4
823,3350,0
824,3085,2
825,2313,0
826,3708,3
827,3366,0
828,654,1
829,3230,0
830,3461,0
831,625,0
832,4425,3
833,2391,0
834,2700,0
835,2265,0
836,70,4
837,1170,1
838,650,0
839,3899,3
840,2338,0
841,1536,0
842,471,1
843,768,0
844,3389,0
845,1786,1
846,3898,3
847,3448,2
848,2298,2
849,3520,0
850,2505,0
851,2572,0
852,3132,0
853,2391,0
854,754,0
855,983,1
856,829,0
857,3057,2
858,2575,2
859,3619,0
860,1571,0
861,2312,0
862,1212,1
863,2265,0
864,2637,0
865,4021,3
866,2017,0
867,747,0
868,2713,0
869,4009,3
870,4340,3
871,3243,0
872,1984,0
873,956,0
874,2338,0
875,3462,0
876,837,0
877,911,0
878,2776,0
879,1136,0
880,2416,0
881,2416,0
882,33,4
883,3319,2
884,2450,0
885,2762,0
886,3708,3
887,1470,0
888,2476,0
889,2335,1
890,3783,3
891,1835,0
892,2741,0
893,701,0
894,2144,0
895,1133,0
896,1582,0
897,2268,2
898,1807,0
899,1943,0
900,825,1
901,3043,2
902,2031,1
903,652,0
904,2121,0
905,2395,0
906,4052,3
907,4166,3
908,3598,1
909,956,0
910,1667,0
911,4141,3
912,261,4
913,2165,0
914,982,0
915,1403,0
916,2874,1
917,1425,1
918,4163,3
919,4273,3
920,1052,0
921,2208,0
922,1455,1
923,2676,0
924,3434,0
925,2538,0
926,1600,1
927,1180,1
928,936,0
929,1751,0
930,4400,3
931,2309,0
932,1635,0
933,1853,0
934,264,4
935,264,4
936,3365,0
937,2912,2
938,2129,0
939,2292,0
940,1856,0
941,1018,0
942,2169,0
943,728,0
944,378,1
945,4052,3
946,2676,0
947,2391,0
948,2541,0
949,2608,0
950,2741,0
951,388,4
952,2367,0
953,553,0
954,3889,1
955,253,4
956,541,1
957,3122,1
958,549,1
959,1517,0
960,677,1
961,1807,0
962,1823,0
963,729,1
964,1391,0
965,959,0
966,2602,0
967,1700,0
968,3523,0
969,4685,3
970,4686,3
971,4675,3
972,4208,3
973,765,1
974,3313,0
975,2523,2
976,2539,1
977,563,0
978,1527,0
979,851,0
980,936,0
981,1838,0
982,1973,0
983,2538,0
984,1942,0
985,3188,1
986,622,1
987,975,0
988,2304,1
989,4700,3
990,570,1
991,1776,0
992,4024,3
993,2391,0
994,2402,0
995,652,0
996,643,0
997,2359,0
998,889,1
999,2470,2
1000,746,1
1001,2958,2
1002,2313,0
1003,1818,0
1004,4105,3
1005,3487,0
1006,2154,0
1007,2202,0
1008,4280,3
1009,1431,0
1010,1446,1
1011,823,1
1012,2658,0
1013,1769,0
1014,3971,3
1015,1939,0
1016,1673,0
1017,2035,0
1018,422,4
1019,3336,1
1020,795,0
1021,2882,0
1022,3461,0
1023,3380,1
1024,1159,0
1025,617,1
1026,2684,0
1027,371,4
1028,1486,0
1029,2169,0
1030,2442,0
1031,53,4
1032,2444,1
1033,4227,3
1034,619,0
1035,2573,1
1036,2538,0
1037,3676,3
1038,1836,0
1039,4653,3
1040,1425,1
1041,1831,0
1042,3969,3
1043,1076,0
1044,427,1
1045,1527,0
1046,4340,3
1047,3619,0
1048,2252,0
1049,3307,0
1050,1982,0
1051,1578,0
1052,2841,0
1053,2841,0
1054,1834,0
1055,4697,3
1056,2003,0
1057,2339,0
1058,3091,2
1059,883,1
1060,3311,0
1061,2480,0
1062,1838,0
1063,2570,0
1064,2232,1
1065,2788,1
1066,1312,1
1067,3399,0
1068,1550,0
1069,1525,1
1070,1917,1
1071,3946,2
1072,541,1
1073,4314,3
1074,3641,2
1075,2596,0
1076,1159,0
1077,95,4
1078,878,1
1079,983,1
1080,2573,1
1081,2309,0
1082,1526,0
1083,4620,3
1084,1620,0
1085,2897,0
1086,2471,2
1087,4166,3
1088,1560,1
1089,2543,1
1090,754,0
1091,3722,1
1092,367,4
1093,2305,0
1094,1792,0
1095,2042,0
1096,1757,0
1097,2682,2
1098,1277,0
1099,2575,2
1100,4399,2
1101,3091,2
1102,2472,0
1103,2682,2
1104,4410,3
1105,3265,2
1106,828,0
1107,4021,3
1108,3712,0
1109,2231,1
1110,3383,2
