route,conventional_fuel_pct_base,conventional_fuel_pct_scen,gasoline_fleet_proportion,cng_fleet_proportion
20,0.9,0.5,0.17,0.83
21,0.9,0.5,0.17,0.83
22,0.9,0.5,0.17,0.83
23,0.9,0.5,0.17,0.83
24,0.9,0.5,0.17,0.83
