Zip_Code,Lat_ft,Long_ft
91708,2293420,6137970
91709,2292830,6114100
91710,2312100,6128480
91711,2356920,6118120
91722,2346860,6060330
91723,2342300,6066110
91724,2340600,6075520
91730,2346320,6159150
91731,2340780,6019290
91732,2338350,6027230
91733,2328760,6015510
91737,2365280,6158440
91739,2359110,6175640
91740,2354380,6076280
91741,2367340,6080470
91744,2322200,6050430
91745,2311810,6037980
91746,2327940,6034960
91748,2302840,6061830
91750,2363070,6104120
91752,2308410,6172440
91754,2331600,5987380
91755,2329990,5996930
91759,2391660,6160450
91761,2322690,6154860
91762,2322860,6138700
91763,2336710,6123050
91764,2337510,6152100
91765,2306460,6087160
91766,2326040,6105050
91767,2340350,6110950
91768,2333950,6095510
91770,2335870,6006420
91773,2349940,6089720
91775,2354130,6004950
91776,2345110,6002880
91780,2349240,6015030
91784,2361720,6135240
91786,2348690,6133640
91789,2318810,6075580
91790,2336130,6050550
91791,2333550,6063680
91792,2320680,6061720
91801,2345580,5993000
91803,2339900,5987430
91901,1874070,6418790
91902,1825850,6329330
91905,1844120,6545720
91906,1833150,6479630
91910,1812850,6313650
91911,1801570,6315270
91913,1810320,6334990
91914,1823440,6346410
91915,1804550,6342300
91916,1915100,6443590
91917,1802280,6395550
91932,1790360,6293930
91934,1809660,6574380
91935,1829880,6387250
91941,1857090,6332960
91942,1863610,6324360
91945,1847470,6320620
91950,1823970,6302610
91962,1874980,6499110
91963,1812290,6449320
91977,1843860,6332240
91978,1839900,6348880
91980,1793600,6434770
92003,2048550,6271400
92004,2019130,6551760
92007,1952160,6249000
92008,1998660,6234650
92009,1979810,6256830
92010,2002190,6245090
92011,1984220,6241710
92014,1933650,6256330
92019,1864340,6368190
92020,1870340,6340260
92021,1885700,6371420
92024,1966410,6253590
92025,1975260,6323310
92026,2022480,6297420
92027,1994010,6337210
92028,2092510,6255990
92029,1974260,6291680
92036,1923390,6522450
92037,1891270,6254020
92040,1912600,6367510
92054,2015960,6223390
92055,2082470,6206470
92056,2018560,6243750
92057,2037040,6243630
92058,2042580,6223930
92059,2084150,6341600
92061,2055610,6354430
92064,1939040,6325350
92065,1959680,6378530
92066,2040470,6469740
92067,1951220,6271400
92069,2008640,6283870
92070,2012900,6406990
92071,1895600,6327040
92075,1943280,6252590
92078,1988050,6275270
92081,2005090,6258440
92082,2036530,6333920
92083,2017120,6256330
92084,2025840,6269520
92086,2054780,6430590
92091,1952380,6268890
92093,1901870,6259600
92096,1991770,6283250
92101,1844080,6278770
92102,1841840,6294540
92103,1852940,6279750
92104,1851190,6292080
92105,1849200,6302590
92106,1842660,6259060
92107,1851070,6256200
92108,1862470,6286860
92109,1869260,6259400
92110,1859050,6269400
92111,1876680,6279830
92113,1834470,6294590
92114,1838250,6314020
92115,1857720,6309080
92116,1859210,6293300
92117,1881200,6269850
92118,1826350,6279120
92119,1874300,6321800
92120,1869860,6308830
92121,1907910,6269540
92122,1893170,6267940
92123,1874700,6289760
92124,1880570,6302260
92126,1913050,6287520
92127,1951970,6293830
92128,1943580,6309440
92129,1931860,6293150
92130,1926420,6268630
92131,1915270,6310350
92132,1842732,6278505
92134,1845130,6286040
92135,1835720,6266670
92136,1828370,6293940
92139,1828110,6315850
92140,1850480,6270510
92145,1896720,6297440
92147,1844566,6263742
92152,1833340,6255150
92154,1787080,6330680
92155,1826710,6281240
92161,1899477,6258957
92173,1782600,6315070
92179,1789485,6349974
92182,1863050,6308570
92201,2200770,6566300
92203,2217200,6564270
92210,2199710,6534300
92211,2222900,6536520
92220,2286780,6379200
92223,2281370,6339670
92225,2200660,7054450
92227,1947340,6812570
92230,2275270,6401360
92231,1829680,6778130
92233,2011390,6776370
92234,2241110,6495710
92236,2194370,6586270
92239,2228020,6819930
92240,2294380,6479690
92241,2256800,6538270
92242,2379070,7131730
92243,1861900,6761000
92249,1842600,6804870
92250,1869920,6836260
92251,1897340,6754590
92252,2364510,6550140
92253,2181750,6552350
92254,2122040,6660230
92256,2343040,6457010
92257,2070320,6726600
92258,2280420,6466080
92259,1851070,6636480
92260,2195160,6517250
92262,2257610,6465060
92264,2213320,6474620
92267,2420280,7176950
92270,2222600,6508450
92274,1987560,6657730
92276,2243630,6522260
92277,2383000,6703480
92278,2478320,6594400
92280,2383920,7002910
92281,1973720,6737820
92282,2293740,6436620
92283,1974340,6949390
92284,2370490,6495270
92285,2466150,6470680
92301,2553430,6176180
92304,2565500,6686560
