route,conventional_fuel_pct_base,conventional_fuel_pct_scen,gasoline_fleet_proportion,cng_fleet_proportion
41,0.9,0.5,0.17,0.83
42,0.9,0.5,0.17,0.83
43,0.9,0.5,0.17,0.83
44,0.9,0.5,0.17,0.83
55,0.9,0.5,0.17,0.83
56,0.9,0.5,0.17,0.83
57,0.9,0.5,0.17,0.83
58,0.9,0.5,0.17,0.83
59,0.9,0.5,0.17,0.83
60,0.9,0.5,0.17,0.83
63,0.9,0.5,0.17,0.83
64,0.9,0.5,0.17,0.83
29,0.9,0.5,0.17,0.83
30,0.9,0.5,0.17,0.83
33,0.9,0.5,0.17,0.83
34,0.9,0.5,0.17,0.83
31,0.9,0.5,0.17,0.83
32,0.9,0.5,0.17,0.83
72,0.9,0.5,0.17,0.83
73,0.9,0.5,0.17,0.83
74,0.9,0.5,0.17,0.83
75,0.9,0.5,0.17,0.83
90,0.9,0.5,0.17,0.83
91,0.9,0.5,0.17,0.83
45,0.9,0.5,0.17,0.83
46,0.9,0.5,0.17,0.83
92,0.9,0.5,0.17,0.83
93,0.9,0.5,0.17,0.83
94,0.9,0.5,0.17,0.83
95,0.9,0.5,0.17,0.83
96,0.9,0.5,0.17,0.83
97,0.9,0.5,0.17,0.83
47,0.9,0.5,0.17,0.83
48,0.9,0.5,0.17,0.83
98,0.9,0.5,0.17,0.83
99,0.9,0.5,0.17,0.83
49,0.9,0.5,0.17,0.83
50,0.9,0.5,0.17,0.83
51,0.9,0.5,0.17,0.83
52,0.9,0.5,0.17,0.83
100,0.9,0.5,0.17,0.83
101,0.9,0.5,0.17,0.83
53,0.9,0.5,0.17,0.83
54,0.9,0.5,0.17,0.83
176,0.9,0.5,0.17,0.83
177,0.9,0.5,0.17,0.83
174,0.9,0.5,0.17,0.83
175,0.9,0.5,0.17,0.83
25,0.9,0.5,0.17,0.83
26,0.9,0.5,0.17,0.83
108,0.9,0.5,0.17,0.83
109,0.9,0.5,0.17,0.83
168,0.9,0.5,0.17,0.83
169,0.9,0.5,0.17,0.83
170,0.9,0.5,0.17,0.83
171,0.9,0.5,0.17,0.83
305,0.9,0.5,0.17,0.83
306,0.9,0.5,0.17,0.83
65,0.9,0.5,0.17,0.83
66,0.9,0.5,0.17,0.83
172,0.9,0.5,0.17,0.83
173,0.9,0.5,0.17,0.83
110,0.9,0.5,0.17,0.83
111,0.9,0.5,0.17,0.83
112,0.9,0.5,0.17,0.83
113,0.9,0.5,0.17,0.83
114,0.9,0.5,0.17,0.83
115,0.9,0.5,0.17,0.83
116,0.9,0.5,0.17,0.83
117,0.9,0.5,0.17,0.83
118,0.9,0.5,0.17,0.83
119,0.9,0.5,0.17,0.83
120,0.9,0.5,0.17,0.83
121,0.9,0.5,0.17,0.83
122,0.9,0.5,0.17,0.83
123,0.9,0.5,0.17,0.83
128,0.9,0.5,0.17,0.83
129,0.9,0.5,0.17,0.83
130,0.9,0.5,0.17,0.83
131,0.9,0.5,0.17,0.83
132,0.9,0.5,0.17,0.83
133,0.9,0.5,0.17,0.83
136,0.9,0.5,0.17,0.83
