Zip Code,Lat,Long,Lat Feet,Long Feet
90045,33.9531,-118.401,2297170,5909320
90046,34.1072,-118.365,2353020,5921510
90047,33.9539,-118.309,2296910,5937350
90048,34.0731,-118.373,2340650,5918830
90049,34.0869,-118.488,2346420,5883970
90056,33.9933,-118.374,2311620,5917950
90057,34.0622,-118.277,2336110,5947680
90058,34.0024,-118.215,2313970,5966260
90059,33.9255,-118.25,2286200,5955010
90061,33.9205,-118.274,2284520,5947650
90062,34.0034,-118.309,2314900,5937690
90063,34.0443,-118.185,2329070,5975470
90064,34.0372,-118.424,2327910,5902970
90065,34.1094,-118.228,2353000,5962930
90066,34.0019,-118.431,2315130,5900590
90067,34.0575,-118.414,2335250,5906180
90068,34.1281,-118.329,2360390,5932560
90069,34.0943,-118.381,2348430,5916350
90071,34.0524,-118.256,2332420,5954190
90073,34.0592,-118.451,2336080,5894880
