Van ID,Employer,Van Type,Vehicle Capacity,Industry,Industry Type,Origin,Destination,Origin Zip,Destination Zip,Daily Round Trip Mileage
1954,US Navy,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,Central,92563,92106,138
1956,Naval Base San Diego,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,Central,92563,92136,130
1963,Solar Turbines,2019 Ford EXPL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,Central,92040,92101,71
1964,Naval Base San Diego,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,Central,92592,92147,140
1968,UCSD,2018 Ford TRANS - 9 Seats,9,Education Services & Academic Institutions,Non-Federal,South Suburban,North City,91911,92093,54
1977,Qualcomm,2020 Buick ENCL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Orange County,North City,92620,92121,134
1978,Naval Base San Diego,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92563,92136,160
1980,Camp Pendleton,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,North County West,92592,92055,64
1982,Camp Pendleton,2017 Ford TRANS - 10 Seats,10,Military,Military,Riverside County,North County West,92592,92055,97
1984,SPAWAR,2019 Ford EXPL - 7 Seats,7,Military,Military,Orange County,North City,92618,92110,132
1985,Solar Turbines,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,East County,Central,91901,92101,70
1986,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,South Suburban,North City,91911,92161,65
1988,Camp Pendleton,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,North County West,92592,92055,72
1993,Camp Pendleton,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North County West,92583,92055,94
2006,SPAWAR,2018 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,North City,92563,92110,134
2012,San Diego Airport Authority,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non-Federal,Riverside County,Central,92563,92101,158
2022,US Border Patrol,2018 Ford TRANS - 8 Seats,8,Government & Public Administration,Federal,North City,East County,92120,91905,109
2034,SDG&E,2020 Buick ENCL - 7 Seats,7,Utilities,Non-Federal,Riverside County,North County East,92562,92029,76
2035,UCSD,2019 Nissan PATH - 7 Seats,7,Education Services & Academic Institutions,Non-Federal,Central,North City,91950,92093,42
2036,NASNI,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92584,92135,136
2037,San Diego Zoo Global,2017 Ford TRANS - 8 Seats,8,"Arts, Entertainment, & Recreation",Non-Federal,Central,North County East,92103,92027,62
2040,US Border Patrol,2019 Ford TRANS - 9 Seats,9,Government & Public Administration,Federal,East Suburban,East County,91942,91962,82
2042,DEA,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North County East,92563,92083,76
2052,US Border Patrol,2018 Ford TRANS - 9 Seats,9,Government & Public Administration,Federal,North County East,East County,92027,91962,74
2059,San Diego Unified School District,2019 Ford TRANS - 10 Seats,10,Education Services & Academic Institutions,Non-Federal,Riverside County,North City,92563,92123,118
2063,NASNI,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92592,92136,130
2064,Qualcomm,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Orange County,North City,92618,92121,98
2091,Bureau of Prisons,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92563,92101,128
2101,Marines - Marine Corps Recruit Depot,2019 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92592,92140,120
2104,NAB,2018 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92591,92155,154
2107,SDG&E,2019 Dodge DURA - 7 Seats,7,Utilities,Non-Federal,Riverside County,North City,92562,92123,128
2114,Costco,2020 Nissan PATH - 7 Seats,7,Retail Trade,Non-Federal,North City,North City,92129,92117,34
2127,Board of Equalization,2018 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Federal,South Suburban,North City,91913,92128,85
